year,hbr,admission_type,age_group,sex,diagnosis,number_of_discharges,crude_rate,easr,hb_name
2009,S92000003,All,All,All,Cerebrovascular Disease,25545,488.2547449,564.2170389,Scotland
2009,S92000003,All,All,All,Stroke,17239,329.497888,383.3586508,Scotland
2009,S92000003,All,All,All,Subarachnoid Haemorrhage,1405,26.85448881,27.31416598,Scotland
2009,S92000003,All,All,All,TIAs and related syndromes,3101,59.27101053,67.91723872,Scotland
2009,S92000003,All,All,Male,Cerebrovascular Disease,12408,490.0533932,637.5616733,Scotland
2009,S92000003,All,All,Male,Stroke,8353,329.9013535,435.5225077,Scotland
2009,S92000003,All,All,Male,Subarachnoid Haemorrhage,462,18.2466689,19.11591706,Scotland
2009,S92000003,All,All,Male,TIAs and related syndromes,1506,59.47940121,75.89383111,Scotland
2009,S92000003,All,All,Female,Cerebrovascular Disease,13137,486.5679901,490.8724045,Scotland
2009,S92000003,All,All,Female,Stroke,8886,329.1195219,331.1947939,Scotland
2009,S92000003,All,All,Female,Subarachnoid Haemorrhage,943,34.9268185,35.5124149,Scotland
2009,S92000003,All,All,Female,TIAs and related syndromes,1595,59.07558378,59.94064633,Scotland
2009,S92000003,All,0-44 years,All,Cerebrovascular Disease,1215,41.19724972,41.09488598,Scotland
2009,S92000003,All,0-44 years,All,Stroke,577,19.56445522,19.60202841,Scotland
2009,S92000003,All,0-44 years,All,Subarachnoid Haemorrhage,281,9.527923598,9.501881744,Scotland
2009,S92000003,All,0-44 years,All,TIAs and related syndromes,91,3.085555329,3.06016733,Scotland
2009,S92000003,All,0-44 years,Male,Cerebrovascular Disease,646,43.93855404,44.22070884,Scotland
2009,S92000003,All,0-44 years,Male,Stroke,348,23.66968546,23.89541298,Scotland
2009,S92000003,All,0-44 years,Male,Subarachnoid Haemorrhage,123,8.366009515,8.459977224,Scotland
2009,S92000003,All,0-44 years,Male,TIAs and related syndromes,45,3.060735189,3.05666291,Scotland
2009,S92000003,All,0-44 years,Female,Cerebrovascular Disease,569,38.47217461,37.96906312,Scotland
2009,S92000003,All,0-44 years,Female,Stroke,229,15.48352897,15.30864384,Scotland
2009,S92000003,All,0-44 years,Female,Subarachnoid Haemorrhage,158,10.68295886,10.54378626,Scotland
2009,S92000003,All,0-44 years,Female,TIAs and related syndromes,46,3.110228527,3.06367175,Scotland
2009,S92000003,All,45-64 years,All,Cerebrovascular Disease,5614,397.5641934,402.3586977,Scotland
2009,S92000003,All,45-64 years,All,Stroke,3317,234.8985446,238.7743157,Scotland
2009,S92000003,All,45-64 years,All,Subarachnoid Haemorrhage,656,46.45566635,46.16029276,Scotland
2009,S92000003,All,45-64 years,All,TIAs and related syndromes,780,55.23692036,55.70200871,Scotland
2009,S92000003,All,45-64 years,Male,Cerebrovascular Disease,3229,467.3999737,472.0879619,Scotland
2009,S92000003,All,45-64 years,Male,Stroke,2090,302.5289393,305.8734151,Scotland
2009,S92000003,All,45-64 years,Male,Subarachnoid Haemorrhage,211,30.54239531,30.81150328,Scotland
2009,S92000003,All,45-64 years,Male,TIAs and related syndromes,443,64.12455507,64.43346186,Scotland
2009,S92000003,All,45-64 years,Female,Cerebrovascular Disease,2385,330.673159,332.6294336,Scotland
2009,S92000003,All,45-64 years,Female,Stroke,1227,170.1199019,171.6752163,Scotland
2009,S92000003,All,45-64 years,Female,Subarachnoid Haemorrhage,445,61.69792695,61.50908224,Scotland
2009,S92000003,All,45-64 years,Female,TIAs and related syndromes,337,46.72404805,46.97055556,Scotland
2009,S92000003,All,65-74 years,All,Cerebrovascular Disease,6010,1268.826557,1293.841272,Scotland
2009,S92000003,All,65-74 years,All,Stroke,4031,851.0216059,869.1773949,Scotland
2009,S92000003,All,65-74 years,All,Subarachnoid Haemorrhage,314,66.29143743,64.71390993,Scotland
2009,S92000003,All,65-74 years,All,TIAs and related syndromes,740,156.2282283,159.5877544,Scotland
2009,S92000003,All,65-74 years,Male,Cerebrovascular Disease,3353,1525.776198,1539.287193,Scotland
2009,S92000003,All,65-74 years,Male,Stroke,2296,1044.790382,1053.573218,Scotland
2009,S92000003,All,65-74 years,Male,Subarachnoid Haemorrhage,91,41.4093749,41.51736133,Scotland
2009,S92000003,All,65-74 years,Male,TIAs and related syndromes,407,185.2045669,187.7579019,Scotland
2009,S92000003,All,65-74 years,Female,Cerebrovascular Disease,2657,1046.437897,1048.395352,Scotland
2009,S92000003,All,65-74 years,Female,Stroke,1735,683.3156761,684.7815721,Scotland
2009,S92000003,All,65-74 years,Female,Subarachnoid Haemorrhage,223,87.82674108,87.91045853,Scotland
2009,S92000003,All,65-74 years,Female,TIAs and related syndromes,333,131.1493488,131.4176069,Scotland
2009,S92000003,All,under75 years,All,Cerebrovascular Disease,12839,265.5434105,290.8457439,Scotland
2009,S92000003,All,under75 years,All,Stroke,7925,163.909302,181.4548522,Scotland
2009,S92000003,All,under75 years,All,Subarachnoid Haemorrhage,1251,25.87388477,26.54775194,Scotland
2009,S92000003,All,under75 years,All,TIAs and related syndromes,1611,33.31960701,36.45080976,Scotland
2009,S92000003,All,under75 years,Male,Cerebrovascular Disease,7228,303.590967,341.3270857,Scotland
2009,S92000003,All,under75 years,Male,Stroke,4734,198.8378027,224.8188636,Scotland
2009,S92000003,All,under75 years,Male,Subarachnoid Haemorrhage,425,17.85088005,18.78325166,Scotland
2009,S92000003,All,under75 years,Male,TIAs and related syndromes,895,37.59185328,42.24180777,Scotland
2009,S92000003,All,under75 years,Female,Cerebrovascular Disease,5611,228.6325727,240.3644021,Scotland
2009,S92000003,All,under75 years,Female,Stroke,3191,130.0243342,138.0908407,Scotland
2009,S92000003,All,under75 years,Female,Subarachnoid Haemorrhage,826,33.65719213,34.31225222,Scotland
2009,S92000003,All,under75 years,Female,TIAs and related syndromes,716,29.17499947,30.65981175,Scotland
2009,S92000003,All,75plus years,All,Cerebrovascular Disease,12706,3201.237563,3328.304578,Scotland
2009,S92000003,All,75plus years,All,Stroke,9314,2346.633611,2424.830393,Scotland
2009,S92000003,All,75plus years,All,Subarachnoid Haemorrhage,154,38.79982565,35.06346349,Scotland
2009,S92000003,All,75plus years,All,TIAs and related syndromes,1490,375.4009105,386.0777982,Scotland
2009,S92000003,All,75plus years,Male,Cerebrovascular Disease,5180,3427.422023,3632.822504,Scotland
2009,S92000003,All,75plus years,Male,Stroke,3619,2394.563765,2565.970464,Scotland
2009,S92000003,All,75plus years,Male,Subarachnoid Haemorrhage,37,24.48158588,22.47953386,Scotland
2009,S92000003,All,75plus years,Male,TIAs and related syndromes,611,404.2769992,416.1531782,Scotland
2009,S92000003,All,75plus years,Female,Cerebrovascular Disease,7526,3062.150341,3023.786652,Scotland
2009,S92000003,All,75plus years,Female,Stroke,5695,2317.160004,2283.690321,Scotland
2009,S92000003,All,75plus years,Female,Subarachnoid Haemorrhage,117,47.60451633,47.64739312,Scotland
2009,S92000003,All,75plus years,Female,TIAs and related syndromes,879,357.6441868,356.0024182,Scotland
2009,S92000003,Elective,All,All,Cerebrovascular Disease,1032,19.72514765,22.41110557,Scotland
2009,S92000003,Elective,All,All,Stroke,267,5.103308549,6.384281799,Scotland
2009,S92000003,Elective,All,All,Subarachnoid Haemorrhage,68,1.299719031,1.302331176,Scotland
2009,S92000003,Elective,All,All,TIAs and related syndromes,62,1.18503794,1.306181407,Scotland
2009,S92000003,Elective,All,Male,Cerebrovascular Disease,554,21.88020469,26.82406525,Scotland
2009,S92000003,Elective,All,Male,Stroke,147,5.805758285,8.281450225,Scotland
2009,S92000003,Elective,All,Male,Subarachnoid Haemorrhage,25,0.987373858,1.006387877,Scotland
2009,S92000003,Elective,All,Male,TIAs and related syndromes,29,1.145353675,1.348736118,Scotland
2009,S92000003,Elective,All,Female,Cerebrovascular Disease,478,17.70415614,17.99814589,Scotland
2009,S92000003,Elective,All,Female,Stroke,120,4.444558028,4.487113372,Scotland
2009,S92000003,Elective,All,Female,Subarachnoid Haemorrhage,43,1.592633293,1.598274476,Scotland
2009,S92000003,Elective,All,Female,TIAs and related syndromes,33,1.222253458,1.263626696,Scotland
2009,S92000003,Elective,0-44 years,All,Cerebrovascular Disease,91,3.085555329,3.068443302,Scotland
2009,S92000003,Elective,0-44 years,All,Stroke,19,0.644236827,0.640095287,Scotland
2009,S92000003,Elective,0-44 years,All,Subarachnoid Haemorrhage,16,0.542515223,0.560073378,Scotland
2009,S92000003,Elective,0-44 years,All,TIAs and related syndromes,2,0.067814403,0.064219628,Scotland
2009,S92000003,Elective,0-44 years,Male,Cerebrovascular Disease,45,3.060735189,3.09679693,Scotland
2009,S92000003,Elective,0-44 years,Male,Stroke,14,0.952228725,0.957216718,Scotland
2009,S92000003,Elective,0-44 years,Male,Subarachnoid Haemorrhage,8,0.5441307,0.576567873,Scotland
2009,S92000003,Elective,0-44 years,Male,TIAs and related syndromes,1,0.068016338,0.066026399,Scotland
2009,S92000003,Elective,0-44 years,Female,Cerebrovascular Disease,46,3.110228527,3.040089674,Scotland
2009,S92000003,Elective,0-44 years,Female,Stroke,5,0.338068318,0.322973857,Scotland
2009,S92000003,Elective,0-44 years,Female,Subarachnoid Haemorrhage,8,0.540909309,0.543578883,Scotland
2009,S92000003,Elective,0-44 years,Female,TIAs and related syndromes,1,0.067613664,0.062412856,Scotland
2009,S92000003,Elective,45-64 years,All,Cerebrovascular Disease,375,26.55621171,26.71643791,Scotland
2009,S92000003,Elective,45-64 years,All,Stroke,58,4.107360745,4.128261041,Scotland
2009,S92000003,Elective,45-64 years,All,Subarachnoid Haemorrhage,43,3.045112276,3.029192302,Scotland
