year,ca,age_group,sex,diagnosis,number_of_deaths,crude_rate,easr,ca_name,hb_name
2009,S92000003,All,All,Cerebrovascular Disease,4911,93.87,116.33,Scotland,Scotland
2009,S92000003,All,All,Stroke,2732,52.22,62.47,Scotland,Scotland
2009,S92000003,All,All,Subarachnoid Haemorrhage,189,3.61,3.73,Scotland,Scotland
2009,S92000003,All,Male,Cerebrovascular Disease,1843,72.79,116.98,Scotland,Scotland
2009,S92000003,All,Male,Stroke,988,39.02,59.5,Scotland,Scotland
2009,S92000003,All,Male,Subarachnoid Haemorrhage,64,2.53,2.85,Scotland,Scotland
2009,S92000003,All,Female,Cerebrovascular Disease,3068,113.63,115.68,Scotland,Scotland
2009,S92000003,All,Female,Stroke,1744,64.59,65.43,Scotland,Scotland
2009,S92000003,All,Female,Subarachnoid Haemorrhage,125,4.63,4.61,Scotland,Scotland
2009,S92000003,0-44 years,All,Cerebrovascular Disease,60,2.03,2.04,Scotland,Scotland
2009,S92000003,0-44 years,All,Stroke,29,0.98,0.98,Scotland,Scotland
2009,S92000003,0-44 years,All,Subarachnoid Haemorrhage,24,0.81,0.82,Scotland,Scotland
2009,S92000003,0-44 years,Male,Cerebrovascular Disease,35,2.38,2.44,Scotland,Scotland
2009,S92000003,0-44 years,Male,Stroke,20,1.36,1.37,Scotland,Scotland
2009,S92000003,0-44 years,Male,Subarachnoid Haemorrhage,10,0.68,0.73,Scotland,Scotland
2009,S92000003,0-44 years,Female,Cerebrovascular Disease,25,1.69,1.64,Scotland,Scotland
2009,S92000003,0-44 years,Female,Stroke,9,0.61,0.59,Scotland,Scotland
2009,S92000003,0-44 years,Female,Subarachnoid Haemorrhage,14,0.95,0.92,Scotland,Scotland
2009,S92000003,45-64 years,All,Cerebrovascular Disease,358,25.35,25.64,Scotland,Scotland
2009,S92000003,45-64 years,All,Stroke,198,14.02,14.23,Scotland,Scotland
2009,S92000003,45-64 years,All,Subarachnoid Haemorrhage,84,5.95,5.94,Scotland,Scotland
2009,S92000003,45-64 years,Male,Cerebrovascular Disease,190,27.5,27.84,Scotland,Scotland
2009,S92000003,45-64 years,Male,Stroke,110,15.92,16.15,Scotland,Scotland
2009,S92000003,45-64 years,Male,Subarachnoid Haemorrhage,33,4.78,4.82,Scotland,Scotland
2009,S92000003,45-64 years,Female,Cerebrovascular Disease,168,23.29,23.44,Scotland,Scotland
2009,S92000003,45-64 years,Female,Stroke,88,12.2,12.31,Scotland,Scotland
2009,S92000003,45-64 years,Female,Subarachnoid Haemorrhage,51,7.07,7.06,Scotland,Scotland
2009,S92000003,65-74 years,All,Cerebrovascular Disease,627,132.37,134.95,Scotland,Scotland
2009,S92000003,65-74 years,All,Stroke,398,84.03,85.26,Scotland,Scotland
2009,S92000003,65-74 years,All,Subarachnoid Haemorrhage,33,6.97,6.84,Scotland,Scotland
2009,S92000003,65-74 years,Male,Cerebrovascular Disease,329,149.71,152.12,Scotland,Scotland
2009,S92000003,65-74 years,Male,Stroke,203,92.37,93.5,Scotland,Scotland
2009,S92000003,65-74 years,Male,Subarachnoid Haemorrhage,10,4.55,4.61,Scotland,Scotland
2009,S92000003,65-74 years,Female,Cerebrovascular Disease,298,117.36,117.77,Scotland,Scotland
2009,S92000003,65-74 years,Female,Stroke,195,76.8,77.03,Scotland,Scotland
2009,S92000003,65-74 years,Female,Subarachnoid Haemorrhage,23,9.06,9.08,Scotland,Scotland
2009,S92000003,under75 years,All,Cerebrovascular Disease,1045,21.61,24.25,Scotland,Scotland
2009,S92000003,under75 years,All,Stroke,625,12.93,14.56,Scotland,Scotland
2009,S92000003,under75 years,All,Subarachnoid Haemorrhage,141,2.92,3.01,Scotland,Scotland
2009,S92000003,under75 years,Male,Cerebrovascular Disease,554,23.27,27.1,Scotland,Scotland
2009,S92000003,under75 years,Male,Stroke,333,13.99,16.3,Scotland,Scotland
2009,S92000003,under75 years,Male,Subarachnoid Haemorrhage,53,2.23,2.37,Scotland,Scotland
2009,S92000003,under75 years,Female,Cerebrovascular Disease,491,20.01,21.39,Scotland,Scotland
2009,S92000003,under75 years,Female,Stroke,292,11.9,12.82,Scotland,Scotland
2009,S92000003,under75 years,Female,Subarachnoid Haemorrhage,88,3.59,3.65,Scotland,Scotland
2009,S92000003,75plus years,All,Cerebrovascular Disease,3866,974.03,1047.43,Scotland,Scotland
2009,S92000003,75plus years,All,Stroke,2107,530.85,546.85,Scotland,Scotland
2009,S92000003,75plus years,All,Subarachnoid Haemorrhage,48,12.09,10.97,Scotland,Scotland
2009,S92000003,75plus years,Male,Cerebrovascular Disease,1289,852.89,1025.75,Scotland,Scotland
2009,S92000003,75plus years,Male,Stroke,655,433.39,496.28,Scotland,Scotland
2009,S92000003,75plus years,Male,Subarachnoid Haemorrhage,11,7.28,7.68,Scotland,Scotland
2009,S92000003,75plus years,Female,Cerebrovascular Disease,2577,1048.52,1069.11,Scotland,Scotland
2009,S92000003,75plus years,Female,Stroke,1452,590.78,597.41,Scotland,Scotland
2009,S92000003,75plus years,Female,Subarachnoid Haemorrhage,37,15.05,14.26,Scotland,Scotland
2009,S12000005,All,All,Cerebrovascular Disease,42,81.89,107.25,Clackmannanshire,NHS Forth Valley
2009,S12000005,All,All,Stroke,23,44.84,59.57,Clackmannanshire,NHS Forth Valley
2009,S12000005,All,All,Subarachnoid Haemorrhage,3,5.85,5.5,Clackmannanshire,NHS Forth Valley
2009,S12000005,All,Male,Cerebrovascular Disease,12,47.99,73.36,Clackmannanshire,NHS Forth Valley
2009,S12000005,All,Male,Stroke,7,27.99,45.85,Clackmannanshire,NHS Forth Valley
2009,S12000005,All,Male,Subarachnoid Haemorrhage,1,4,4,Clackmannanshire,NHS Forth Valley
