year,hbr,age_group,sex,diagnosis,number_of_deaths,crude_rate,easr,hb_name
2009,S92000003,All,All,Cerebrovascular Disease,4911,93.86647,116.3335,Scotland
2009,S92000003,All,All,Stroke,2732,52.21812,62.4669,Scotland
2009,S92000003,All,All,Subarachnoid Haemorrhage,189,3.612454,3.725818,Scotland
2009,S92000003,All,Male,Cerebrovascular Disease,1843,72.7892,116.9822,Scotland
2009,S92000003,All,Male,Stroke,988,39.02101,59.50055,Scotland
2009,S92000003,All,Male,Subarachnoid Haemorrhage,64,2.527677,2.84546,Scotland
2009,S92000003,All,Female,Cerebrovascular Disease,3068,113.6325,115.6848,Scotland
2009,S92000003,All,Female,Stroke,1744,64.59424,65.43325,Scotland
2009,S92000003,All,Female,Subarachnoid Haemorrhage,125,4.629748,4.606177,Scotland
2009,S92000003,0-44 years,All,Cerebrovascular Disease,60,2.034432,2.039087,Scotland
2009,S92000003,0-44 years,All,Stroke,29,0.983309,0.977337,Scotland
2009,S92000003,0-44 years,All,Subarachnoid Haemorrhage,24,0.813773,0.824888,Scotland
2009,S92000003,0-44 years,Male,Cerebrovascular Disease,35,2.380572,2.435915,Scotland
2009,S92000003,0-44 years,Male,Stroke,20,1.360327,1.368782,Scotland
2009,S92000003,0-44 years,Male,Subarachnoid Haemorrhage,10,0.680163,0.728234,Scotland
2009,S92000003,0-44 years,Female,Cerebrovascular Disease,25,1.690342,1.642259,Scotland
2009,S92000003,0-44 years,Female,Stroke,9,0.608523,0.585892,Scotland
2009,S92000003,0-44 years,Female,Subarachnoid Haemorrhage,14,0.946591,0.921542,Scotland
2009,S92000003,45-64 years,All,Cerebrovascular Disease,358,25.35233,25.63822,Scotland
2009,S92000003,45-64 years,All,Stroke,198,14.02168,14.22702,Scotland
2009,S92000003,45-64 years,All,Subarachnoid Haemorrhage,84,5.948591,5.942692,Scotland
2009,S92000003,45-64 years,Male,Cerebrovascular Disease,190,27.50263,27.83549,Scotland
2009,S92000003,45-64 years,Male,Stroke,110,15.92258,16.14554,Scotland
2009,S92000003,45-64 years,Male,Subarachnoid Haemorrhage,33,4.776773,4.820528,Scotland
2009,S92000003,45-64 years,Female,Cerebrovascular Disease,168,23.2927,23.44094,Scotland
2009,S92000003,45-64 years,Female,Stroke,88,12.20094,12.3085,Scotland
2009,S92000003,45-64 years,Female,Subarachnoid Haemorrhage,51,7.070998,7.064857,Scotland
2009,S92000003,65-74 years,All,Cerebrovascular Disease,627,132.3718,134.9471,Scotland
2009,S92000003,65-74 years,All,Stroke,398,84.02545,85.2639,Scotland
2009,S92000003,65-74 years,All,Subarachnoid Haemorrhage,33,6.966935,6.844232,Scotland
2009,S92000003,65-74 years,Male,Cerebrovascular Disease,329,149.7108,152.1196,Scotland
2009,S92000003,65-74 years,Male,Stroke,203,92.37476,93.49889,Scotland
2009,S92000003,65-74 years,Male,Subarachnoid Haemorrhage,10,4.5504810000000004,4.609441,Scotland
2009,S92000003,65-74 years,Female,Cerebrovascular Disease,298,117.3649,117.7746,Scotland
2009,S92000003,65-74 years,Female,Stroke,195,76.79917,77.02891,Scotland
2009,S92000003,65-74 years,Female,Subarachnoid Haemorrhage,23,9.058363,9.079023,Scotland
2009,S92000003,under75 years,All,Cerebrovascular Disease,1045,21.61328,24.2469,Scotland
2009,S92000003,under75 years,All,Stroke,625,12.9266,14.56113,Scotland
2009,S92000003,under75 years,All,Subarachnoid Haemorrhage,141,2.916241,3.009778,Scotland
2009,S92000003,under75 years,Male,Cerebrovascular Disease,554,23.26915,27.10369,Scotland
2009,S92000003,under75 years,Male,Stroke,333,13.98669,16.3023,Scotland
2009,S92000003,under75 years,Male,Subarachnoid Haemorrhage,53,2.22611,2.367778,Scotland
2009,S92000003,under75 years,Female,Cerebrovascular Disease,491,20.00688,21.39011,Scotland
2009,S92000003,under75 years,Female,Stroke,292,11.89818,12.81997,Scotland
2009,S92000003,under75 years,Female,Subarachnoid Haemorrhage,88,3.585754,3.651777,Scotland
2009,S92000003,75plus years,All,Cerebrovascular Disease,3866,974.0268,1047.431,Scotland
2009,S92000003,75plus years,All,Stroke,2107,530.8522,546.8474,Scotland
2009,S92000003,75plus years,All,Subarachnoid Haemorrhage,48,12.09345,10.96579,Scotland
2009,S92000003,75plus years,Male,Cerebrovascular Disease,1289,852.8855,1025.754,Scotland
2009,S92000003,75plus years,Male,Stroke,655,433.3902,496.2829,Scotland
2009,S92000003,75plus years,Male,Subarachnoid Haemorrhage,11,7.278309,7.675353,Scotland
2009,S92000003,75plus years,Female,Cerebrovascular Disease,2577,1048.52,1069.109,Scotland
2009,S92000003,75plus years,Female,Stroke,1452,590.7843,597.412,Scotland
2009,S92000003,75plus years,Female,Subarachnoid Haemorrhage,37,15.05442,14.25622,Scotland
2009,S08000015,All,All,Cerebrovascular Disease,386,103.6436,116.7516,Ayrshire and Arran
2009,S08000015,All,All,Stroke,206,55.31241,62.07251,Ayrshire and Arran
2009,S08000015,All,All,Subarachnoid Haemorrhage,18,4.833123,4.621841,Ayrshire and Arran
2009,S08000015,All,Male,Cerebrovascular Disease,142,79.71169,114.6451,Ayrshire and Arran
2009,S08000015,All,Male,Stroke,81,45.46934,63.57565,Ayrshire and Arran
2009,S08000015,All,Male,Subarachnoid Haemorrhage,6,3.3681,3.375787,Ayrshire and Arran
2009,S08000015,All,Female,Cerebrovascular Disease,244,125.5868,118.8581,Ayrshire and Arran
2009,S08000015,All,Female,Stroke,125,64.33748,60.56938,Ayrshire and Arran
2009,S08000015,All,Female,Subarachnoid Haemorrhage,12,6.176398,5.867894,Ayrshire and Arran
2009,S08000015,0-44 years,All,Cerebrovascular Disease,5,2.538922,2.636909,Ayrshire and Arran
2009,S08000015,0-44 years,All,Stroke,3,1.523353,1.515158,Ayrshire and Arran
2009,S08000015,0-44 years,All,Subarachnoid Haemorrhage,1,0.507784,0.560876,Ayrshire and Arran
2009,S08000015,0-44 years,Male,Cerebrovascular Disease,5,5.151984,5.273819,Ayrshire and Arran
2009,S08000015,0-44 years,Male,Stroke,3,3.09119,3.030315,Ayrshire and Arran
2009,S08000015,0-44 years,Male,Subarachnoid Haemorrhage,1,1.030397,1.121752,Ayrshire and Arran
2009,S08000015,0-44 years,Female,Cerebrovascular Disease,0,0,0,Ayrshire and Arran
2009,S08000015,0-44 years,Female,Stroke,0,0,0,Ayrshire and Arran
2009,S08000015,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,Ayrshire and Arran
2009,S08000015,45-64 years,All,Cerebrovascular Disease,32,30.16506,29.9025,Ayrshire and Arran
2009,S08000015,45-64 years,All,Stroke,17,16.02519,16.11279,Ayrshire and Arran
2009,S08000015,45-64 years,All,Subarachnoid Haemorrhage,9,8.483923,8.256542,Ayrshire and Arran
2009,S08000015,45-64 years,Male,Cerebrovascular Disease,18,35.16655,34.51361,Ayrshire and Arran
2009,S08000015,45-64 years,Male,Stroke,12,23.44437,23.17358,Ayrshire and Arran
2009,S08000015,45-64 years,Male,Subarachnoid Haemorrhage,2,3.907395,3.732199,Ayrshire and Arran
2009,S08000015,45-64 years,Female,Cerebrovascular Disease,14,25.50184,25.29139,Ayrshire and Arran
2009,S08000015,45-64 years,Female,Stroke,5,9.1078,9.052002,Ayrshire and Arran
2009,S08000015,45-64 years,Female,Subarachnoid Haemorrhage,7,12.75092,12.78088,Ayrshire and Arran
2009,S08000015,65-74 years,All,Cerebrovascular Disease,54,140.3618,142.6654,Ayrshire and Arran
2009,S08000015,65-74 years,All,Stroke,35,90.97525,92.04234,Ayrshire and Arran
2009,S08000015,65-74 years,All,Subarachnoid Haemorrhage,5,12.99646,13.38905,Ayrshire and Arran
2009,S08000015,65-74 years,Male,Cerebrovascular Disease,26,144.0922,146.3058,Ayrshire and Arran
2009,S08000015,65-74 years,Male,Stroke,17,94.21414,95.41981,Ayrshire and Arran
2009,S08000015,65-74 years,Male,Subarachnoid Haemorrhage,3,16.62603,16.96199,Ayrshire and Arran
2009,S08000015,65-74 years,Female,Cerebrovascular Disease,28,137.0668,139.0251,Ayrshire and Arran
2009,S08000015,65-74 years,Female,Stroke,18,88.11435,88.66486,Ayrshire and Arran
2009,S08000015,65-74 years,Female,Subarachnoid Haemorrhage,2,9.790484,9.816105,Ayrshire and Arran
2009,S08000015,under75 years,All,Cerebrovascular Disease,91,26.648,26.73403,Ayrshire and Arran
2009,S08000015,under75 years,All,Stroke,55,16.10594,16.21156,Ayrshire and Arran
2009,S08000015,under75 years,All,Subarachnoid Haemorrhage,15,4.392528,4.282095,Ayrshire and Arran
2009,S08000015,under75 years,Male,Cerebrovascular Disease,49,29.46854,30.06162,Ayrshire and Arran
2009,S08000015,under75 years,Male,Stroke,32,19.24476,19.55654,Ayrshire and Arran
2009,S08000015,under75 years,Male,Subarachnoid Haemorrhage,6,3.608393,3.709656,Ayrshire and Arran
2009,S08000015,under75 years,Female,Cerebrovascular Disease,42,23.97123,23.40643,Ayrshire and Arran
2009,S08000015,under75 years,Female,Stroke,23,13.1271,12.86658,Ayrshire and Arran
2009,S08000015,under75 years,Female,Subarachnoid Haemorrhage,9,5.136693,4.854533,Ayrshire and Arran
2009,S08000015,75plus years,All,Cerebrovascular Disease,295,953.4275,1026.929,Ayrshire and Arran
2009,S08000015,75plus years,All,Stroke,151,488.0256,525.7777,Ayrshire and Arran
2009,S08000015,75plus years,All,Subarachnoid Haemorrhage,3,9.695873,8.05705,Ayrshire and Arran
2009,S08000015,75plus years,Male,Cerebrovascular Disease,93,783.9501,969.878,Ayrshire and Arran
2009,S08000015,75plus years,Male,Stroke,49,413.049,508.6578,Ayrshire and Arran
2009,S08000015,75plus years,Male,Subarachnoid Haemorrhage,0,0,0,Ayrshire and Arran
2009,S08000015,75plus years,Female,Cerebrovascular Disease,202,1058.811,1083.981,Ayrshire and Arran
2009,S08000015,75plus years,Female,Stroke,102,534.6472,542.8976,Ayrshire and Arran
2009,S08000015,75plus years,Female,Subarachnoid Haemorrhage,3,15.72492,16.1141,Ayrshire and Arran
2009,S08000016,All,All,Cerebrovascular Disease,96,84.51448,87.29077,Borders
2009,S08000016,All,All,Stroke,55,48.41976,50.61941,Borders
2009,S08000016,All,All,Subarachnoid Haemorrhage,7,6.162514,5.290024,Borders
2009,S08000016,All,Male,Cerebrovascular Disease,32,58.27612,82.74581,Borders
2009,S08000016,All,Male,Stroke,20,36.42257,50.96398,Borders
2009,S08000016,All,Male,Subarachnoid Haemorrhage,2,3.642257,3.636342,Borders
2009,S08000016,All,Female,Cerebrovascular Disease,64,109.068,91.83572,Borders
2009,S08000016,All,Female,Stroke,35,59.64655,50.27483,Borders
2009,S08000016,All,Female,Subarachnoid Haemorrhage,5,8.520936,6.943706,Borders
2009,S08000016,0-44 years,All,Cerebrovascular Disease,0,0,0,Borders
2009,S08000016,0-44 years,All,Stroke,0,0,0,Borders
2009,S08000016,0-44 years,All,Subarachnoid Haemorrhage,0,0,0,Borders
2009,S08000016,0-44 years,Male,Cerebrovascular Disease,0,0,0,Borders
2009,S08000016,0-44 years,Male,Stroke,0,0,0,Borders
2009,S08000016,0-44 years,Male,Subarachnoid Haemorrhage,0,0,0,Borders
2009,S08000016,0-44 years,Female,Cerebrovascular Disease,0,0,0,Borders
2009,S08000016,0-44 years,Female,Stroke,0,0,0,Borders
2009,S08000016,0-44 years,Female,Subarachnoid Haemorrhage,0,0,0,Borders
2009,S08000016,45-64 years,All,Cerebrovascular Disease,10,29.57442,30.18122,Borders
2009,S08000016,45-64 years,All,Stroke,5,14.78721,14.97213,Borders
2009,S08000016,45-64 years,All,Subarachnoid Haemorrhage,2,5.914885,6.25708,Borders
2009,S08000016,45-64 years,Male,Cerebrovascular Disease,5,29.9958,31.67158,Borders
2009,S08000016,45-64 years,Male,Stroke,2,11.99832,12.6871,Borders
2009,S08000016,45-64 years,Male,Subarachnoid Haemorrhage,1,5.99916,6.297382,Borders
