year,hb,sex,age,count,hb_name
1981,S92000003,All,all_ages,5180200,Scotland
1981,S92000003,Female,all_ages,2685340,Scotland
1981,S92000003,Male,all_ages,2494860,Scotland
1981,S08000015,All,all_ages,377854,NHS Ayrshire and Arran
1981,S08000015,Female,all_ages,196774,NHS Ayrshire and Arran
1981,S08000015,Male,all_ages,181080,NHS Ayrshire and Arran
1981,S08000016,All,all_ages,101256,NHS Borders
1981,S08000016,Female,all_ages,53045,NHS Borders
1981,S08000016,Male,all_ages,48211,NHS Borders
1981,S08000017,All,all_ages,145502,NHS Dumfries and Galloway
1981,S08000017,Female,all_ages,75128,NHS Dumfries and Galloway
1981,S08000017,Male,all_ages,70374,NHS Dumfries and Galloway
1981,S08000019,All,all_ages,273625,NHS Forth Valley
1981,S08000019,Female,all_ages,140890,NHS Forth Valley
1981,S08000019,Male,all_ages,132735,NHS Forth Valley
1981,S08000020,All,all_ages,484899,NHS Grampian
1981,S08000020,Female,all_ages,248372,NHS Grampian
1981,S08000020,Male,all_ages,236527,NHS Grampian
1981,S08000022,All,all_ages,285851,NHS Highland
1981,S08000022,Female,all_ages,145953,NHS Highland
1981,S08000022,Male,all_ages,139898,NHS Highland
1981,S08000024,All,all_ages,749481,NHS Lothian
1981,S08000024,Female,all_ages,391241,NHS Lothian
1981,S08000024,Male,all_ages,358240,NHS Lothian
1981,S08000025,All,all_ages,19182,NHS Orkney
1981,S08000025,Female,all_ages,9701,NHS Orkney
1981,S08000025,Male,all_ages,9481,NHS Orkney
1981,S08000026,All,all_ages,26347,NHS Shetland
1981,S08000026,Female,all_ages,11882,NHS Shetland
1981,S08000026,Male,all_ages,14465,NHS Shetland
1981,S08000028,All,all_ages,31548,NHS Western Isles
1981,S08000028,Female,all_ages,15804,NHS Western Isles
1981,S08000028,Male,all_ages,15744,NHS Western Isles
1981,S08000029,All,all_ages,341589,NHS Fife
1981,S08000029,Female,all_ages,176158,NHS Fife
1981,S08000029,Male,all_ages,165431,NHS Fife
1981,S08000030,All,all_ages,397055,NHS Tayside
1981,S08000030,Female,all_ages,208130,NHS Tayside
1981,S08000030,Male,all_ages,188925,NHS Tayside
1981,S08000031,All,all_ages,1294362,NHS Greater Glasgow and Clyde
1981,S08000031,Female,all_ages,676267,NHS Greater Glasgow and Clyde
1981,S08000031,Male,all_ages,618095,NHS Greater Glasgow and Clyde
1981,S08000032,All,all_ages,651649,NHS Lanarkshire
1981,S08000032,Female,all_ages,335995,NHS Lanarkshire
1981,S08000032,Male,all_ages,315654,NHS Lanarkshire
1982,S92000003,All,all_ages,5164540,Scotland
1982,S92000003,Female,all_ages,2677205,Scotland
1982,S92000003,Male,all_ages,2487335,Scotland
